decay_rate,alpha,gamma,val_loss,val_accuracy,sparsity
0.0014208308325339208,0.015416517812688426,0.0022218487163472573,2.302152994155884,0.10916666666666666,0.9999976283197595
0.0011242100350620863,0.017305187499573202,0.0002573938047012406,2.3021964276631675,0.10916666666666666,0.9999952566395188
0.0008895134973108227,0.017114006893327583,0.0019525037717195604,0.11082686070601146,0.9675,0.9920904463976549
0.0007038135554931555,0.01053686699302301,0.17621784000744614,0.10956319500009219,0.9680833333333333,0.9951475422277667
0.0005568813990945267,0.013310145544560645,0.33390416926853667,0.17322372132539748,0.9451666666666667,0.996255116900119
0.00044062364277735685,0.007148882129603945,0.12467027097560719,0.1196721679965655,0.9656666666666667,0.9954629756997643
0.0003486365227678084,0.006202577017543183,0.0028720227958090685,0.0674765848517418,0.9798333333333333,0.986308289971113
0.0002758531617629181,0.005431873048862202,0.0011899070800104907,0.0677677065997074,0.9816666666666667,0.9861517590752344
0.00021826447283974872,0.006595199425992078,0.0002493540932794984,0.050659068685024976,0.9844166666666667,0.9711200497104179
0.00017269832906594343,0.005613339419295005,0.00015488117594925622,0.08048281343157093,0.9759166666666667,0.9927568885452588
0.00013664483492953244,0.0047767618345931516,0.0002155045664190516,0.059544796052699286,0.9838333333333333,0.9181461998567505
0.00010811807510766077,0.003562593302087637,0.3682176619228727,0.04421607118534545,0.98625,0.9361757130456643
8.554672535565684e-05,0.00412399444776183,0.00030225073007511565,0.04765254878392443,0.9868333333333333,0.9622475939303959
6.768750009458528e-05,0.0027885689470239015,0.0006940908201243515,0.05198132831168671,0.98375,0.8870439851817419
5.355666917706897e-05,0.002667111641275283,0.6391464604702137,0.04420862733091538,0.9875,0.9143064495472463
4.237587160604064e-05,0.0023531042994329675,0.033803923788709674,0.045863695421333735,0.9878333333333333,0.8835955621119338
3.352924149249553e-05,0.0021162152000963968,0.00010239896960531815,0.038046096182389494,0.9875,0.8255439448631777
2.6529484644318946e-05,0.0014239927208149071,0.0006180185069358315,0.03805119734940429,0.9885,0.9318094497227506
2.0991037201085544e-05,0.0017717014303524898,0.00021390065316591797,0.03697017398088549,0.9903333333333333,0.8140294372951461
1.6608827826277133e-05,0.001575467517300558,0.3261228976390921,0.03576360535037626,0.9896666666666667,0.7949279246374887
1.3141473626117553e-05,0.001207409962815561,0.03238344482665913,0.03728333465599765,0.98925,0.8494054197636858
1.03979841848149e-05,0.001133812386803839,0.010756007082673616,0.0406588068199344,0.9883333333333333,0.8294999075044707
8.227241341700457e-06,0.0008818979856347654,0.0028056669390548595,0.03419622418928581,0.9890833333333333,0.8632773774908572
6.509675230458164e-06,0.0007206625039790844,0.012976147658841706,0.037085897957285244,0.9895833333333334,0.9080475853923471
5.150678076168122e-06,0.0007649511105674014,0.00017915672501181353,0.03867831653899824,0.98825,0.7659863106616513
4.0753929658717695e-06,0.0008414319405061676,0.2529435706610481,0.03512129042138501,0.9901666666666666,0.6808002997803824
3.224590545296391e-06,0.000862481275305569,0.0009721252146025659,0.038788462719763626,0.9889166666666667,0.6533765611585184
2.5514065200312875e-06,0.0005208591142453003,0.008801051914415091,0.03591055557349076,0.9898333333333333,0.7845826554280646
2.0187602546790346e-06,0.0003905562676443312,0.006403106888649063,0.03588185485786138,0.989,0.8407416718448352
1.5973122800602524e-06,0.00030976900181240704,0.0007567588636032452,0.037115118870666874,0.9890833333333333,0.8876321618814065
1.263848202934297e-06,0.000634375746189419,0.032685435543946345,0.03383506115419732,0.9904166666666666,0.44750522955493044
1e-06,0.0005811035581248273,0.09711169460614305,0.03518995310279327,0.9906666666666667,0.4858054937601093
